﻿R10136-0_1_1,"I'm a person of ill omen, you'd better stay away from me.",ข้าคือผู้ที่จะนำโชคร้ายมาให้ เจ้าควรอยู่ให้ห่างจากข้าจะดีกว่า
R10136-14_53_1,"A virtuous couple Happy Together, I can't do anything to you, {PlayerName} take care of yourself."
R10136-14_53_2,"(It seems that sincerity is the key, it seems I am really a faithful person.)"
R10136-15_1_1,"Miss Ji, my master misses you a lot..."
R10136-15_1_2,Tell your master to give up!
R10136-15_1_3,"The master also specifically instructed that if there is a male companion around Miss Ji, kill without mercy!"
R10136-15_2_1,"I always bring disaster to people around me. If you still follow me, I don't know how much Collateral Damage there will be in the future. They will not let it go, I don't know when I will encounter them next time."
R10136-15_2_2,"It's better to believe in your own strength than fate. If I meet them again next time, I will not let them escape so easily."
R10136-16_1_1,"Miss Ji, we meet again."
R10136-16_1_2,"Like master, like servant."
R10136-16_1_3,"The master ordered, bring back the person alive or the body if dead."
R10136-16_2_1,"It seems that the master has underestimated you, I need to put more effort into dealing with you."
R10136-16_2_2,"He escaped again, his strength is not very good, but his ability to escape is top-notch."
R10136-17_1_1,"Hehe, this time you can't escape!"
R10136-17_1_2,"A defeated general dares to come and die, this time I won't let you escape!"
R10136-17_1_3,"Keep the woman, kill the man without mercy!"
R10136-17_2_1,"You don't think we only sent these few people this time, do you? That was just an appetizer."
R10136-17_3_1,Just... bring it on...
R10136-17_4_1,Just bring it on.
R10136-17_5_1,"Without using a killer move, I'm afraid we can't end this peacefully today."
R10136-17_6_1,"Total Annihilation, leave no troubles behind!"
R10136-17_6_2,Ah———!!!
R10136-17_6_3,"Without him going back to report, it will be much quieter on the road in the future."
R10136-17_6_4,Are you injured? Let's find a place to rest before we continue on our journey.
R10136-17_6_5,"I just used the killer move Blissful Ascent and didn't control my strength well, there was some backlash, but it's not a big deal, don't worry."
R10136-18_1_1,"My father and the master of Langya Sword Pavilion, Jian Chi, were close friends. When I come to the territory of Wu Yue, it's my duty to pay him a visit."
R10136-18_2_1,"Ji Fuling, the daughter of Ji Hanqing from Zhongzhou, pays her respects to Elder Jian Chi."
R10136-18_2_2,"Oh, the girl from the Ji family has grown up so much. Ji brother is really blessed."
R10136-18_3_1,"My father was punished for his words, and more than ten members of the Ji family have already become souls under the government's knife."
R10136-18_3_2,How could this happen! Could it be that Ji brother also...
R10136-18_3_3,My father also did not escape the disaster.
R10136-18_3_4,"Alas, the treacherous are in power, misleading the country and the people!"
R10136-18_3_5,"Niece, is your purpose of this trip to ask me to take action and avenge your family with a Vengeful Strike?"
R10136-18_3_6,"There's no need to bother you, elder. I want to find out the real culprit and avenge my family on my own."
R10136-18_3_7,"Indeed, you have the spirit of the Ji family!"
R10136-18_3_8,"Although I am not convenient to interfere in court affairs, I will do my best to help you, considering my friendship with Ji brother."
R10136-18_3_9,"Niece, if you can break through the Four Phases Sword Formation of my Sword Pavilion alone, I will give you a unique divine weapon tailored for you."
R10136-18_4_1,"Thanks to your blessing, my father really survived this disaster."
R10136-18_4_2,"At first, when I heard about the extermination of the Ji family, I was devastated. But due to my status, I couldn't get involved in court affairs and couldn't vindicate the Ji family, which I deeply regret."
R10136-18_4_3,"Now that Ji brother is safe and sound, the good are blessed by heaven!"
R10136-18_4_4,"Thank you for your concern for my father, elder."
R10136-18_4_5,"If I don't prepare a gift for your visit, Ji brother will definitely laugh at me next time we meet."
R10136-18_4_6,"How about this, if you can break through the Four Phases Sword Formation of my Sword Pavilion alone, I will give you a unique divine weapon tailored for you."
R10136-18_5_1,"Are you ready to break through the sword formation alone, niece?"
R10136-18_6_1,"Niece, this sword formation of mine is not so easy to break through. I'll keep this divine weapon for you first, and you can come to get it when you are strong enough."
R10136-18_7_1,Ji brother should be comforted to have a daughter like you.
R10136-18_7_2,"Honorable is innocent, but the crime lies in possessing the jade. Now that you have the skill to protect yourself, then..."
R10136-18_7_3,"Niece, take the divine weapon!"
R10136-18_7_4,"Thank you, senior."
R10136-19_1_1,"The sister who taught me the Ice Heart Technique back then said she lived in the Melody House in the southwest. Since I'm here, I have to pay her a visit."
R10136-19_2_1,"Melody House, sister... could it be her?"
R10136-19_3_1,"Sister, you are really here!"
R10136-19_3_2,I didn't expect you to actually find this place. I thought you didn't take what I said to heart.
R10136-19_3_3,"How could it be? Thanks to the Ice Heart Technique you taught me, otherwise I wouldn't have made it till now."
R10136-19_3_4,"Well, you look much better than when we first met, which is a great relief."
R10136-19_3_5,"However, up to now, the effect of Ice Heart Technique has greatly diminished and can't effectively help you calm your mind. I have a method of internal strength here, it's useless for others to learn, but it's very beneficial for you."
R10136-19_3_6,"Before I teach you this method, I need to see how your cultivation is now. If your cultivation is shallow, I'm afraid you won't be able to withstand the pressure of this method."
R10136-19_4_1,"Well, it seems that the time is not ripe yet, your cultivation is not enough to control this method."
R10136-19_5_1,Are you ready?
R10136-19_6_1,"At such a young age, you have passed my test, which is quite rare."
R10136-19_6_2,"I'll give you this manual, hope you study it well, it may save your life at a critical moment."
R10136-19_6_3,"Thank you, sister."
end045_1,"Qin Huizhi has now unified the court and the martial arts world, becoming an unprecedented Supreme Overlord."
end045_2,"But he is cruel, even those who whisper about him are executed."
end045_3,"Although people are full of complaints, they dare not speak out."
end045_4,It is said that Qin Huizhi has a loyal shadow by his side.
end045_5,And the methods of that shadow are even more ruthless and heartless than Qin Huizhi...
end046_1,Qin Huizhi never expected that the shadow he trusted would betray him...
end046_2,"Nor did he expect that when you called out, people responded in droves."
end046_3,You stepped over Qin Huizhi's body and ascended to the throne amid cheers.
end046_4,"The unprecedented Supreme Overlord, his legend, has just begun..."
end047_1,"In the end, you didn't take off the iron mask."
end047_2,"You walk in the darkness, but your heart is towards the light."
end047_3,"You punish evil with thunderous methods, maintaining the justice of the world."
end047_4,Your iron mask has become a symbol that makes evildoers tremble...
end047_5,"And you yourself have become a legend, passed down from generation to generation..."
end048_1,You once took a wrong step and became a weapon in the hands of others.
end048_2,"You once put on a mask, abandoned yourself and became another person."
end048_3,"You made a big mistake, but you also punished evil with kindness."
end048_4,"Your efforts have finally been recognized by everyone, whether you wear a mask or not..."
end048_5,"After enduring till the clouds part to reveal the sun, you have finally found yourself again."
end048_6,The road ahead is still long...
B1000-tmr1_1_1,"This place is far from the Central Plains, no one should recognize me if I show my true face."
B1000-tmr1_2_1,It's more comfortable this way.
B1000-tmr1_3_1,"When I return to the Central Plains, I should put on the iron mask."
M1007-1_1_1,"(Opera recitation) My lord, my home is not far in the southeast direction~"
M1007-1_1_2,"Alright, let's go."
M1007-1_2_1,"(Now that Feng Xizi is dead, I don't seem to have any reason to go southeast...)"
M1007-1_3_1,"(Now that I've broken with the Nine Factions Sect, I don't seem to have any reason to go southeast...)"
M20500-10_1_1,"Please make way, folks."
M20500-10_1_2,Was that Chai Wang... taken away by the General?
M20500-10_2_1,"(Opera recitation) My lord, this has nothing to do with you~"
M20500-10_2_2,"Hmm, I don't plan to get involved in this mess."
M20500-10_3_1,"Forget it, it has nothing to do with me."
R10020-3_1_1,"(Opera recitation) I didn't see you, my lord, I deserve to die!"
R10020-3_1_2,It doesn't matter.
R10020-3_1_3,"(Opera recitation) My lord, have you considered the request I made earlier?"
R10020-3_1_4,Your previous request? What was it?
R10020-3_1_5,"(Opera recitation) My lord, you are so busy, it's natural that you forgot my request... I hope to go back to my hometown..."
R10020-3_1_6,Go back to your hometown?
R10020-3_1_7,"(Opera recitation) That thief is back now, I want to settle things."
R10020-3_1_8,What thief?
R10020-3_1_9,"(Opera recitation) My lord, have you forgotten this too?"
R10020-3_1_10,(Better not ask randomly...)
R10020-3_1_11,"Feng Xizi, where is your hometown?"
R10020-3_1_12,"(Opera recitation) Southeast, Phoenix Woods Harbor."
R10020-3_1_13,Southeast... I haven't been to the southeast...
R10020-3_1_14,"(Opera recitation) Would you like to go with me, my lord?"
R10020-3_1_15,Ah? So suddenly...
R10020-3_1_16,"(Opera recitation) If my lord is willing to go with me, then great things can be achieved~"
R10020-3_1_17,(Shall we head southeast with Feng Xizi?)
R10020-3_2_1,"\n|(Opera Monologue) This humble one will wait here for your message, my lord~"
R10020-3_3_1,"Since I have nothing to do for now, I might as well go with you."
R10020-3_3_2,"(Opera recitation) Excellent, wonderful~"
R10020-3_3_3,How do we get to the southeast?
R10020-3_3_4,"\n|(Opera Monologue) There is a pass to the southwest of here, called Meishan Pass. My lord can follow this humble one there~"
R10020-3_3_5,Okay.
R10020-3_4_1,"\n|(Opera Monologue) My lord, the first house on the left after entering the city is my old home."
R10020-3_4_2,"The first house on the left... Okay, I got it."
R10020-3_5_1,Nothing has changed...
R10020-3_5_2,Just like the old days...
R10020-3_5_3,"Things remain the same, but people have changed..."
R10020-3_5_4,Who... who are you! Why are you in my house!
R10020-3_5_5,"Suspicious fellow, I'm going to report you to the authorities!"
R10020-3_5_6,You... you are—!
R10020-3_5_7,……
R10020-3_5_8,"Feathered robe!? Aren't you mad...\nWhy are you here, and what's with that painted face..."
R10020-3_5_9,"Oh, I see, you've finally come to your senses, and you've even brought a disciple to perform for me~"
R10020-3_5_10,"\n|(Opera Monologue)... You killed the king!"
R10020-3_5_11,"\n|(Opera Monologue) I'm here to take your life and avenge the king!"
R10020-3_5_12,"Wait, the death of the Troupe Leader has nothing to do with me!"
R10020-3_5_13,Troupe Leader...
R10020-3_5_14,"When I came to Phoenix Woods Harbor for business years ago, I saw your troupe's performance. How did that saying go... Ah, yes, it was magnificent, a feast for the eyes!"
R10020-3_5_15,"I was so fond of it that I wanted to buy your troupe with money, so you could perform only for me!"
R10020-3_5_16,"(Wanting to buy a troupe with money to perform only for oneself, how selfish.)"
R10020-3_5_17,As for the Troupe Leader's sudden death from illness... it has nothing to do with me!
R10020-3_5_18,……
R10020-3_5_19,"Feathered robe, think about it. When the Troupe Leader was seriously ill, I even sent him medicine—!"
R10020-3_5_20,Who... was the Troupe Leader...
R10020-3_5_21,Who... was the feathered robe...
R10020-3_5_22,You...
R10020-3_5_23,Get lost.
R10020-3_5_24,You say...
R10020-3_5_25,Get lost!
R10020-3_5_26,"Okay, okay..."
R10020-3_5_27,"Feng Xizi, how are you?"
R10020-3_5_28,……
