﻿M2341-14_0_0_1,There is a lingering smell of white vinegar...,มีกลิ่นน้ำส้มสายชูขาวจางๆ ที่ไม่จางหายไป...
M2348-8_11_27,"But if the famous martial artist {PlayerName} suddenly wants to come to the island and just sits in the main hall waiting for him, these things that need to be checked are all secondary matters, aren't they?",แต่ถ้าหาก... อยู่ดีๆ จอมยุทธ์ผู้โด่งดังอย่าง{PlayerName} ขอขึ้นเกาะ จากนั้นก็นั่งรอเขาอยู่กลางห้องโถงใหญ่ เช่นนั้นแล้ว... เรื่องอื่นๆ ที่ต้องตรวจสอบ ก็กลายเป็นเรื่องรองลงไปทันที ไม่ใช่หรือ?
M2348-8_11_28,"You make a good point, I'll consider it carefully...",ฟังดูมีเหตุผล ข้าจะพิจารณาให้ดี…
M2348-8_11_29,"The boat sailed a long way around to the south of the island. Hero {PlayerName}, it's your turn to take the stage.",เรือแล่นวนรอบเกาะจากระยะไกล ตอนนี้ถึงทางใต้ของเกาะแล้ว ท่านจอมยุทธ์{PlayerName} ได้เวลาที่ท่านจะต้องลงมือแล้ว
M2342-0_1_1,"Cough cough, listen, unless the Sect Leader personally invites...",แค่ก แค่ก ฟังให้ดี! หากไม่ได้รับเชิญจากท่านประมุขโดยตรง...
M2342-0_1_2,"Stop, don't talk nonsense, I...",พอเถอะ! เลิกพูดไร้สาระ ข้า...
M2342-0_op1_1,Reveal your identity as Jianghu Master.,แสดงตนในฐานะผู้นำยุทธภพ
M2342-0_op1_2,Reveal your identity as Jianghu Conqueror.,แสดงตนในฐานะจอมมารยุทธภพ
M2342-0_op1_3,Reveal your identity as Peak of Jianghu.,แสดงตนในฐานะหนึ่งในใต้หล้า
M2342-0_op1_4,I'm in a hurry.,ข้าไม่มีเวลามาเสียเวลากับเจ้า!
M2342-0_2_1,"I'm humble, I'm the Jianghu Master.",แม้ข้าจะมิได้เก่งกาจนัก แต่ก็คือผู้นำยุทธภพ
M2342-0_2_2,"So you are the current Jianghu Master! Make way, make way, welcome Jianghu Master!",ที่แท้ท่านก็คือผู้นำยุทธภพในปัจจุบัน! รีบเปิดทาง เปิดทางเร็ว ยินดีต้อนรับท่านผู้นำยุทธภพ!
M2342-0_3_1,"Good question! I give you two choices, the first, is to bow your head obediently and call me ""Jianghu Conqueror"".","ถามได้ดี! ข้ามีให้เจ้าสองทางเลือก หนึ่ง ก้มหัวลงและเรียกข้าว่า ""จอมมารยุทธภพ"""
M2342-0_3_2,The second is to raise your head and see where in this main gate is suitable for hanging your corpse.,สอง เงยหน้าขึ้นและมองหามุมที่เหมาะสมบนประตูนี้ เพื่อแขวนศพของเจ้า
M2342-0_3_3,"Martial... Jianghu Conqueror, please come in.",จะ...จอมมารยุทธภพ! เชิญท่านเข้าไป!
M2342-0_4_1,Ah--,อ๊ากกกก——!
M2342-0_4_2,Ah--,อ๊ากกกก——!
M2342-0_4_3,"What do you think, isn't this tree very tall?",เป็นไงบ้าง ต้นไม้นี้สูงดีหรือไม่?
M2342-0_4_4,Tall... very tall...,ส...สูง... สูงมาก...
M2342-0_4_5,Isn't the view particularly great?,ทิวทัศน์สวยงามหรือไม่?
M2342-0_4_6,"Yes, it's great...",ถ...ถูกต้อง งดงามมาก...
M2342-0_4_7,"Now you know who I am, right?",ตอนนี้เจ้ารู้แล้วใช่หรือไม่ว่าข้าเป็นใคร?
M2342-0_4_8,"You... you are the current Peak of Jianghu, please come in, please come in...",ท่าน...ท่านคืออันดับหนึ่งในใต้หล้า! เชิญท่านเข้าไป เชิญเข้าไป!
M2342-0_5_1,"I have urgent matters and don't want to waste time on you, but you can try to stop me.",ข้ามีธุระด่วน ไม่อยากเสียเวลากับเจ้า แต่ถ้าเจ้าคิดจะขวางก็ลองดู!
M2342-0_5_2,You... you dare!,เจ้า...เจ้ากล้าดีอย่างไร!
M2342-0_5_3,It seems that I can't afford to provoke... Forget it...,ดูท่าทางจะยุ่งยาก... ไม่สนแล้ว...
